"建物他項權利登記","棟數_棟","設定","移轉","變更","塗銷","其他","面積_平方公尺","設定","移轉","變更","塗銷","其他"
"107年<br>(1月至5月)/ 區域別總計 / 登記項目總計","490,652","228,371","56,476","45,031","160,774","-","75,045,137.11","32,249,153.34","7,089,788.44","10,852,466.47","24,853,728.86","-"
"107年<br>(1月至5月)/ 區域別總計 / 抵押權","490,647","228,370","56,472","45,031","160,774","-","75,045,044.38","32,249,104.29","7,089,744.76","10,852,466.47","24,853,728.86","-"
"107年<br>(1月至5月)/ 區域別總計 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 區域別總計 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 區域別總計 / 典權","5","1","4","-","-","-","92.73","49.05","43.68","-","-","-"
"107年<br>(1月至5月)/ 區域別總計 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 區域別總計 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 區域別總計 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 區域別總計 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 區域別總計 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新北市 / 登記項目總計","104,606","49,788","9,604","10,680","34,534","-","10,953,596.66","4,727,080.98","976,652.11","1,304,277.71","3,945,585.86","-"
"107年<br>(1月至5月)/ 新北市 / 抵押權","104,606","49,788","9,604","10,680","34,534","-","10,953,596.66","4,727,080.98","976,652.11","1,304,277.71","3,945,585.86","-"
"107年<br>(1月至5月)/ 新北市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新北市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新北市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新北市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新北市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新北市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新北市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新北市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 臺北市 / 登記項目總計","57,449","28,027","5,821","2,632","20,969","-","5,462,593.84","2,624,732.62","549,776.07","364,194.99","1,923,890.16","-"
