各年收入族群女性持卡人於六都消費樣態,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年月,地區,性別,食品餐飲類未滿20[筆數],食品餐飲類未滿20[金額，新台幣],衣著飾品類未滿20[筆數],衣著飾品類未滿20[金額，新台幣],旅館住宿類未滿20[筆數],旅館住宿類未滿20[金額，新台幣],交通類未滿20[筆數],交通類未滿20[金額，新台幣],文教康樂類未滿20[筆數],文教康樂類未滿20[金額，新台幣],百貨類未滿20[筆數],百貨類未滿20[金額，新台幣],其他類未滿20[筆數],其他類未滿20[金額，新台幣],食品餐飲類20[含]-25[筆數],食品餐飲類20[含]-25[金額，新台幣],衣著飾品類20[含]-25[筆數],衣著飾品類20[含]-25[金額，新台幣],旅館住宿類20[含]-25[筆數],旅館住宿類20[含]-25[金額，新台幣],交通類20[含]-25[筆數],交通類20[含]-25[金額，新台幣],文教康樂類20[含]-25[筆數],文教康樂類20[含]-25[金額，新台幣],百貨類20[含]-25[筆數],百貨類20[含]-25[金額，新台幣],其他類20[含]-25[筆數],其他類20[含]-25[金額，新台幣],食品餐飲類25[含]-30[筆數],食品餐飲類25[含]-30[金額，新台幣],衣著飾品類25[含]-30[筆數],衣著飾品類25[含]-30[金額，新台幣],旅館住宿類25[含]-30[筆數],旅館住宿類25[含]-30[金額，新台幣],交通類25[含]-30[筆數],交通類25[含]-30[金額，新台幣],文教康樂類25[含]-30[筆數],文教康樂類25[含]-30[金額，新台幣],百貨類25[含]-30[筆數],百貨類25[含]-30[金額，新台幣],其他類25[含]-30[筆數],其他類25[含]-30[金額，新台幣],食品餐飲類30[含]-35[筆數],食品餐飲類30[含]-35[金額，新台幣],衣著飾品類30[含]-35[筆數],衣著飾品類30[含]-35[金額，新台幣],旅館住宿類30[含]-35[筆數],旅館住宿類30[含]-35[金額，新台幣],交通類30[含]-35[筆數],交通類30[含]-35[金額，新台幣],文教康樂類30[含]-35[筆數],文教康樂類30[含]-35[金額，新台幣],百貨類30[含]-35[筆數],百貨類30[含]-35[金額，新台幣],其他類30[含]-35[筆數],其他類30[含]-35[金額，新台幣],食品餐飲類35[含]-40[筆數],食品餐飲類35[含]-40[金額，新台幣],衣著飾品類35[含]-40[筆數],衣著飾品類35[含]-40[金額，新台幣],旅館住宿類35[含]-40[筆數],旅館住宿類35[含]-40[金額，新台幣],交通類35[含]-40[筆數],交通類35[含]-40[金額，新台幣],文教康樂類35[含]-40[筆數],文教康樂類35[含]-40[金額，新台幣],百貨類35[含]-40[筆數],百貨類35[含]-40[金額，新台幣],其他類35[含]-40[筆數],其他類35[含]-40[金額，新台幣],食品餐飲類40[含]-45[筆數],食品餐飲類40[含]-45[金額，新台幣],衣著飾品類40[含]-45[筆數],衣著飾品類40[含]-45[金額，新台幣],旅館住宿類40[含]-45[筆數],旅館住宿類40[含]-45[金額，新台幣],交通類40[含]-45[筆數],交通類40[含]-45[金額，新台幣],文教康樂類40[含]-45[筆數],文教康樂類40[含]-45[金額，新台幣],百貨類40[含]-45[筆數],百貨類40[含]-45[金額，新台幣],其他類40[含]-45[筆數],其他類40[含]-45[金額，新台幣],食品餐飲類45[含]-50[筆數],食品餐飲類45[含]-50[金額，新台幣],衣著飾品類45[含]-50[筆數],衣著飾品類45[含]-50[金額，新台幣],旅館住宿類45[含]-50[筆數],旅館住宿類45[含]-50[金額，新台幣],交通類45[含]-50[筆數],交通類45[含]-50[金額，新台幣],文教康樂類45[含]-50[筆數],文教康樂類45[含]-50[金額，新台幣],百貨類45[含]-50[筆數],百貨類45[含]-50[金額，新台幣],其他類45[含]-50[筆數],其他類45[含]-50[金額，新台幣],食品餐飲類50[含]-55[筆數],食品餐飲類50[含]-55[金額，新台幣],衣著飾品類50[含]-55[筆數],衣著飾品類50[含]-55[金額，新台幣],旅館住宿類50[含]-55[筆數],旅館住宿類50[含]-55[金額，新台幣],交通類50[含]-55[筆數],交通類50[含]-55[金額，新台幣],文教康樂類50[含]-55[筆數],文教康樂類50[含]-55[金額，新台幣],百貨類50[含]-55[筆數],百貨類50[含]-55[金額，新台幣],其他類50[含]-55[筆數],其他類50[含]-55[金額，新台幣],食品餐飲類55[含]-60[筆數],食品餐飲類55[含]-60[金額，新台幣],衣著飾品類55[含]-60[筆數],衣著飾品類55[含]-60[金額，新台幣],旅館住宿類55[含]-60[筆數],旅館住宿類55[含]-60[金額，新台幣],交通類55[含]-60[筆數],交通類55[含]-60[金額，新台幣],文教康樂類55[含]-60[筆數],文教康樂類55[含]-60[金額，新台幣],百貨類55[含]-60[筆數],百貨類55[含]-60[金額，新台幣],其他類55[含]-60[筆數],其他類55[含]-60[金額，新台幣],食品餐飲類60[含]-65[筆數],食品餐飲類60[含]-65[金額，新台幣],衣著飾品類60[含]-65[筆數],衣著飾品類60[含]-65[金額，新台幣],旅館住宿類60[含]-65[筆數],旅館住宿類60[含]-65[金額，新台幣],交通類60[含]-65[筆數],交通類60[含]-65[金額，新台幣],文教康樂類60[含]-65[筆數],文教康樂類60[含]-65[金額，新台幣],百貨類60[含]-65[筆數],百貨類60[含]-65[金額，新台幣],其他類60[含]-65[筆數],其他類60[含]-65[金額，新台幣],食品餐飲類65[含]-70[筆數],食品餐飲類65[含]-70[金額，新台幣],衣著飾品類65[含]-70[筆數],衣著飾品類65[含]-70[金額，新台幣],旅館住宿類65[含]-70[筆數],旅館住宿類65[含]-70[金額，新台幣],交通類65[含]-70[筆數],交通類65[含]-70[金額，新台幣],文教康樂類65[含]-70[筆數],文教康樂類65[含]-70[金額，新台幣],百貨類65[含]-70[筆數],百貨類65[含]-70[金額，新台幣],其他類65[含]-70[筆數],其他類65[含]-70[金額，新台幣],食品餐飲類70[含]-75[筆數],食品餐飲類70[含]-75[金額，新台幣],衣著飾品類70[含]-75[筆數],衣著飾品類70[含]-75[金額，新台幣],旅館住宿類70[含]-75[筆數],旅館住宿類70[含]-75[金額，新台幣],交通類70[含]-75[筆數],交通類70[含]-75[金額，新台幣],文教康樂類70[含]-75[筆數],文教康樂類70[含]-75[金額，新台幣],百貨類70[含]-75[筆數],百貨類70[含]-75[金額，新台幣],其他類70[含]-75[筆數],其他類70[含]-75[金額，新台幣],食品餐飲類75[含]-80[筆數],食品餐飲類75[含]-80[金額，新台幣],衣著飾品類75[含]-80[筆數],衣著飾品類75[含]-80[金額，新台幣],旅館住宿類75[含]-80[筆數],旅館住宿類75[含]-80[金額，新台幣],交通類75[含]-80[筆數],交通類75[含]-80[金額，新台幣],文教康樂類75[含]-80[筆數],文教康樂類75[含]-80[金額，新台幣],百貨類75[含]-80[筆數],百貨類75[含]-80[金額，新台幣],其他類75[含]-80[筆數],其他類75[含]-80[金額，新台幣],食品餐飲類80[含]以上[筆數],食品餐飲類80[含]以上[金額，新台幣],衣著飾品類80[含]以上[筆數],衣著飾品類80[含]以上[金額，新台幣],旅館住宿類80[含]以上[筆數],旅館住宿類80[含]以上[金額，新台幣],交通類80[含]以上[筆數],交通類80[含]以上[金額，新台幣],文教康樂類80[含]以上[筆數],文教康樂類80[含]以上[金額，新台幣],百貨類80[含]以上[筆數],百貨類80[含]以上[金額，新台幣],其他類80[含]以上[筆數],其他類80[含]以上[金額，新台幣]
103年01月,台北市,女性,2819,2615745,1261,2663656,334,1222141,2981,2373921,2681,12944032,2161,4341090,5976,6574756,66270,66794381,26138,59555706,8288,25915681,66566,49507309,54251,168087993,58958,113045394,177339,345972061,227091,263753101,69876,172907138,28275,114026520,208045,186724098,151839,568826041,196805,420456210,661502,1355160034,396113,490378285,110710,299500078,50144,224077033,283962,292723782,209947,895438665,335946,759493179,1157040,2698986235,498370,618092602,116405,329368226,58927,287649338,265852,301032941,217338,1065437573,374389,898063784,1324603,3614727017,539797,688628995,108979,336837652,60093,323460829,234056,278674033,200089,1215092839,336556,914741463,1233610,3824285644,519528,695512392,96915,353004308,59386,337222114,204992,248857451,163857,1184107081,281465,863867912,1070890,3850656650,414072,589367739,67424,283908257,52099,278063796,158881,194751742,104510,834799552,196341,702006510,755499,3068022023,297724,434294026,42773,204316010,38425,236503815,100259,124191703,59582,498647201,125437,469540194,456557,2028782464,187031,269687292,23277,115823372,22493,124566754,48958,59933945,30138,270843927,74228,271140344,224541,1048096313,68932,99339656,7562,35890931,7850,40165584,13251,15209839,9445,89993988,25698,92467348,60292,331166154,29735,44061999,2593,14120669,3196,15746047,4175,5215082,3452,37985496,10972,41914441,19786,122768091,10610,15831080,769,3777704,1200,8744666,1042,1424843,1104,13160238,4736,16421511,5445,30333791,8428,15889099,2338,11016030,1277,7857981,1882,2968911,3192,29578638,5051,15658553,13805,78667068
103年02月,台北市,女性,2310,1979202,1052,2013859,279,1654005,2561,2040096,3032,11494237,2141,3755554,5610,12632751,56493,53466773,21154,45708126,7317,20732779,56012,44876337,58464,193249015,55698,108619487,158944,302387095,189909,203487534,52188,126914551,23428,78229001,178781,169424267,155650,608485673,173904,372665591,593174,1149364013,332843,365665017,77711,204475822,39803,158866406,247674,260017082,210925,918066860,287640,621099628,1045400,2308197599,418768,445276196,77303,210943218,44765,187103430,233990,266839457,220263,999363914,311844,696915840,1208836,3076607552,454359,483115478,70671,209490403,44096,201130927,205810,239836828,221078,1311339853,275150,701556475,1134561,3323991427,437116,484021490,65868,225408225,43986,222133199,182305,216734729,199394,1715537178,230056,664946577,989150,3436911451,339502,400296436,50440,195664592,37517,166957485,142155,172094056,123817,1175787296,160628,528145480,697962,2715141216,237468,294520662,33265,148151728,27885,136304479,88903,113062249,62837,525700914,102156,363852568,416422,1756313959,146146,186579544,18465,79749264,16203,74143306,43491,56443364,30376,243370000,59102,204234317,204448,868694506,53060,74274278,6060,26156385,5620,27476435,11887,16218528,9427,88579084,20093,72243412,54357,250527099,22093,30393892,2086,9166578,2479,10456843,3603,4415729,3381,33109575,8492,29184744,17465,115968361,8357,12960973,557,2294917,933,6799306,988,1849912,1124,10651853,3488,12455587,4661,24294563,6247,11671208,1648,7623166,960,5463788,1517,2487404,3278,31709159,3955,12956853,12661,73926413
103年03月,台北市,女性,2867,2474163,1229,2252583,281,754576,3750,3125309,2806,7375212,2226,3472107,6888,6905106,69527,62066260,25514,53493646,7490,21105295,71803,57268169,62219,178232065,58208,99080359,190344,343050090,225894,227667491,64526,155182060,24364,89124137,216061,201455218,166825,642851922,181558,348426803,698599,1374546648,398575,403865144,96866,249736453,41650,178686492,295885,307168099,223685,985095100,305931,600488224,1223305,2732765474,505804,482336730,94785,264057129,47139,213339992,279910,316754454,225448,1010804433,332434,683830943,1403407,3664173733,544010,511393654,79842,238648383,45438,215891990,245250,281966226,195214,944077132,280504,637984818,1289695,3871051947,519041,508521339,72739,261422288,44750,228050522,216012,255590614,157183,876939919,230523,607998545,1120489,3833825458,403746,415974769,55676,226980435,38975,193912038,168180,205317317,106272,739120465,160527,498378164,799334,3188748084,286969,314722405,37567,170015081,29295,164010306,105912,131956196,65172,538622383,105714,348455360,481493,2248369659,179476,201801381,21104,97908554,17848,95794722,52695,66204671,35279,337299950,63959,209587761,239690,1272264558,66473,76246631,7314,33863410,6437,31213193,14642,18590782,11666,125750434,22976,83939990,65291,387732369,27910,33117107,2391,11873417,2644,13151448,4550,6354762,4173,51637219,9711,36898529,20329,128803834,10296,13056897,773,3814795,998,8933385,1216,1731143,1347,18979950,4166,11964333,5530,51539071,7616,11805569,1880,8655665,1026,4750683,1932,3193314,3272,27901839,4534,13511582,14360,87401726
103年04月,台北市,女性,2564,2023837,1110,1920526,237,698259,3161,2592857,2421,8325671,1969,3617187,6593,8261726,64575,56147946,23585,47895112,6543,19372127,68049,52098779,58782,170147073,58370,117588620,181650,332458872,213321,209996908,61758,143208725,21807,82391956,207621,185340704,156170,600104828,191835,453719601,667254,1320573868,381667,378559253,96699,245374387,37937,164166892,286919,285615299,209109,946443400,322541,823603672,1164348,2675452416,492358,457650319,93745,249674779,42942,198208866,271771,296834626,207573,991093050,344620,928057776,1346330,3615315568,534839,492643866,77278,226533452,41434,206370076,236642,267843825,180005,937502392,293629,870545295,1227876,3754271529,512540,492449778,68152,226882287,41743,231450389,208049,240083169,144653,882369033,241838,826245574,1064254,3654818614,400961,406607730,51708,205589695,36078,187330549,161895,189351689,99465,789084454,171635,728274654,754761,3011470530,284373,303454170,34707,159190344,27070,155887597,102708,125744617,60957,605471396,113089,512056360,456216,2111840640,177050,195261411,19757,87393955,16311,86864908,50895,62005461,33439,377700195,67659,299938717,226986,1145552854,66193,81758120,6987,36132582,5904,31425375,14159,16405447,11408,154918059,25293,116220864,63645,351978795,27911,33038961,2388,13296756,2533,11350450,4335,5858682,4246,61606587,10620,48307869,19689,148521805,10212,12204083,753,3840229,969,4999231,1131,1757074,1328,20354920,4529,22012341,5161,36913145,7608,11805234,1825,8553938,1024,6697579,1765,2622986,3244,33648510,4485,20379979,14648,80979225
103年05月,台北市,女性,2961,2849965,1333,2310675,315,1175894,3608,3408673,2731,13081594,2336,5795194,7251,7724106,72159,67746377,27336,52883971,7670,22991927,74258,58941296,63139,183713196,62921,118430986,199283,377959066,234256,246088397,68058,153675684,24810,91437501,221191,201760770,164002,623642734,197760,416433956,741050,1781083481,415723,441433256,102261,254240735,43375,189023594,304177,304805138,218768,993872345,327591,724611404,1264411,3809989269,531767,530201083,97613,258995151,49376,217010007,292802,326067772,219914,1127557294,356164,824826918,1429704,5292924372,574935,564961852,82217,237658139,48036,230183118,255625,299320312,191191,1152211975,305608,791136809,1290299,5799388646,551171,563505348,71817,246753674,47028,250781617,222764,266121171,155411,1111231011,257933,774540556,1118119,5957459694,430149,470096149,54902,209328583,40849,202905096,172329,205820327,103651,914949110,184247,660337328,800132,5389291255,305618,353375006,36470,155235916,30922,179203501,108588,131570267,62694,664354984,124416,506425170,484912,3743758611,191231,223876661,21133,93384611,18717,97564290,53536,65869980,34022,436249255,74513,276499784,244786,2329260175,71319,87422035,7256,33020232,6968,37140498,14782,17731699,11756,178547641,27739,103140718,67960,651428606,29429,36242887,2585,12748466,2824,13087836,4562,5810602,4229,67195092,11159,40558349,21490,283665433,10567,13285312,803,3989302,1015,6233002,1110,1614865,1380,25172806,4730,16553039,6126,169037189,8076,12796891,2007,9304352,1094,6811407,1834,3449993,3470,36989589,4920,15599492,15413,121885138
103年06月,台北市,女性,3053,2648283,1432,2593698,331,803337,2988,3227808,3335,18360577,2464,5251080,7007,7427649,71026,63520402,29028,54811203,8413,23977028,70750,56146370,74431,197187306,58133,104380530,192523,370823402,233699,231297706,71452,152750763,25542,93340289,210633,190548660,190799,590999882,184528,360866845,694068,1473480698,413220,405368546,104956,243470852,43588,182792347,292232,293572451,236992,912470295,310905,624015384,1196119,2936303201,535686,502134491,101987,255869841,50977,216484042,286789,323509847,234503,1127147820,348598,736841704,1387060,4053339714,575548,527150406,88730,247603147,49291,227840242,253981,303903709,208727,1327202389,301714,720265471,1257761,4305076910,557532,535616115,79349,252959404,48695,255683119,223170,269659533,170979,1303425411,256332,708329065,1096359,4321166126,433563,436733684,58758,219884353,42705,206093050,172629,208792155,108539,921754438,181280,572595680,781336,3634151502,305185,330694550,38751,158133121,31373,180286766,107751,129750134,62450,609462801,118318,397413134,470687,2454818094,189669,205346668,21921,90037828,18934,98499587,54010,66856343,32854,376758657,71970,234861544,233793,1284569928,70971,81138246,7740,30996529,7059,35125647,14785,17573615,10869,143904557,26705,93358487,65165,418109771,28993,31626978,2859,13010170,2859,13480307,4735,6051134,4095,60300622,10709,34590059,20027,166170938,10613,12908022,864,4430512,1092,6214320,1236,1708054,1314,19393997,4536,14478350,5673,62837521,7820,12557775,2040,8428084,1137,5751351,1735,3068534,3362,34471860,4847,14435520,15115,105277504
103年07月,台北市,女性,3598,2917820,1491,2802356,438,1137673,2809,3152068,3344,20350103,2669,5608585,6961,7353630,78632,69495088,28169,53040866,9353,26634002,73868,59502128,58107,180164451,60059,106340311,189853,363053693,260549,246109559,73032,154466304,27709,97528741,225479,203955895,154377,560153426,192605,369222520,680772,1329808711,466542,445075921,109519,255080133,46297,183778628,310774,313750323,221736,874239873,326320,640115103,1169203,2598621663,603272,558874753,109169,266018054,54673,230824842,310415,342525951,239042,1107217711,364690,744673160,1359397,3536874245,643354,591825820,94547,247602177,53708,238634818,271919,317618981,216972,1297286687,310951,712436935,1230395,3635876923,629472,609203747,85714,269995656,54714,273372467,237252,292229731,176506,1295699129,264923,708258559,1079420,3721422484,494366,502278304,63872,219516017,47320,228434817,181162,218110642,111356,922220227,185549,578358604,772891,3127883827,347806,368757134,41129,164039195,34452,181910446,113376,136561683,62250,539200911,121381,391910075,465349,2141874811,217512,228061837,23122,92672224,20726,102638435,56649,68902129,32314,307416534,72966,230809588,230291,1214479316,82482,90386848,7922,33378426,7790,40807913,15521,18705044,10808,118199014,27471,87926543,64189,385208599,33839,37937964,2706,11469544,3082,15005055,4719,6163293,4138,52755192,11056,36262681,19854,153631706,12022,14618948,867,3710461,1202,6546243,1179,1635876,1261,17920230,4549,14750167,5541,43887438,9016,13677730,2140,9552320,1263,6925347,1796,3990359,3323,28796866,4935,16012126,15479,92452971
103年08月,台北市,女性,3844,3498484,1497,2802027,475,1451841,3376,3428182,5104,19094980,2857,5780220,7756,11374689,84336,81929177,27547,52310574,9701,28860863,76404,59919633,103166,224609626,59672,113557791,199714,358585626,278256,291063371,66901,139638425,28643,99834442,233470,205274376,246166,666062933,191742,393621046,714511,1350912033,487809,515368452,100539,230710697,48689,192275853,319897,309590481,281732,993009093,320846,668895198,1205457,2613705622,630163,640917934,101543,245262402,58106,244512894,315172,342453839,268659,1189700985,358818,768507689,1384535,3538058302,673356,686542380,88602,232300554,57081,259176801,275527,306843597,248720,1548505816,306961,746492681,1252750,3785722078,661636,697153120,81557,247850593,57357,280199245,243681,280370218,214929,1736755244,265515,716301181,1108060,3893292870,523365,577169631,62228,218517686,48407,237438498,185455,215406849,132330,1169376377,187260,549185948,791133,3240217799,367836,425477450,40397,156019459,34586,172763367,116317,134686472,69507,621109183,121117,398331501,471677,2193297104,228015,258257806,22537,85509606,20839,104725864,58322,68778788,35411,345232297,72330,225771625,235632,1208822060,86909,102691148,7886,32239473,7677,33708979,16242,18984562,11680,134116921,27322,87102650,66158,376036793,34946,40927371,2620,10347052,3113,13311389,4929,5912596,4211,55878897,10523,34840336,20107,161791507,12712,16471055,775,3467515,1181,5946052,1348,1902964,1266,16775802,4592,15091318,5643,43295496,9479,15579974,1944,8237990,1252,7582640,1886,3658922,3632,37769293,4792,14163944,16147,97407291
103年09月,台北市,女性,3576,2829664,1585,2768092,553,1248133,3899,3294370,4060,12788892,2491,4569646,8356,12487379,75063,67239579,27204,53016299,9199,26200864,72481,54742040,78424,203050967,56061,115490334,200896,394175693,242094,239108705,64439,146975021,25763,93908976,218743,191141453,192989,667725946,174927,424775843,717383,1464413105,429154,415567914,93267,229496363,42634,178038513,303123,289132621,245946,1061052229,297074,753987250,1226369,2850979996,564069,518708870,89726,237698149,49827,219457849,294842,308410804,249383,1123973561,329511,880347482,1441348,3941317033,605735,547220057,73984,217906105,48976,225835290,255314,270403050,225799,1266945057,280092,852490980,1314384,4205063087,586893,556507305,68421,241185955,49900,252218132,229941,252554057,199987,1570833961,236951,825193734,1155316,4410399951,458416,458046779,53634,204853927,43053,211746288,178327,202410133,128226,1231342633,168280,665273764,834605,3928605651,323479,340850331,36097,150552897,31146,172624046,112908,129054501,70396,760661177,110445,487940124,500762,2471835923,203462,219065760,20503,89337865,19053,102599665,56466,66090920,36480,451334362,67815,295766447,252764,1437974544,79150,85356288,7382,35025681,7175,38529356,15681,17613469,12468,170227870,25936,117353899,72990,532539404,31622,35448529,2292,12053540,2893,13150989,4817,6024479,4461,65464420,10254,48376536,21881,227239673,11484,13569907,726,3315585,1165,6977004,1181,1313768,1417,21877731,4453,18475636,6095,57237610,8421,12407520,1797,9180384,1225,6703991,1715,3485561,3468,36996566,4334,16321236,17062,117911288
103年10月,台北市,女性,3501,2756059,1920,3698333,387,844693,3743,3613633,3465,7626417,2825,5354792,8413,16651274,75422,64738145,32793,67993802,9129,25839517,75459,52329585,83530,183842285,73811,166668403,206730,443592466,239838,232342320,75175,180769995,26590,97594724,222588,184338054,203906,641073441,231996,637233804,726704,1627910245,433370,419254313,110073,291392147,45723,189313453,311843,282716726,252660,997668880,391776,1114975508,1223878,2995460735,575529,530691871,107122,295654896,53429,222554958,306552,306150999,245478,1062935832,442628,1299882075,1419079,3885239447,610886,551868552,83111,254987071,51415,229619665,263164,267876916,206848,997160988,380322,1199675758,1270688,3902427879,585316,545197344,73503,267531928,51575,258108021,235383,246706375,169942,948870011,324986,1175079716,1115171,3859651649,457427,453285839,55385,215698301,44886,226439051,184101,201572063,115674,847517204,240806,1000032713,805194,3205493366,323017,338472055,37016,167649851,33228,185454446,118204,132446137,69896,641666067,164200,740854054,486618,2146215507,205391,219410674,21294,99638058,20697,107736301,60401,68898969,38478,422467346,101733,447724454,247303,1206777147,80052,88820017,7737,39613286,7817,42212321,17083,19196788,13336,163325250,38775,180071374,72373,382912161,32228,35476774,2629,15682857,3092,14619807,5150,6347811,4849,64999096,14949,65375803,21695,142407585,11726,13547059,748,4321637,1210,7838561,1315,1419415,1504,21304918,6258,28834110,6147,48526785,8426,12980456,1986,10894294,1150,7211078,1789,3015419,3563,35150015,5840,21709909,16418,101277408
