plant,year,month,the_amount_of_trash,the_amount_of_incineration ,margin,the_amount_of_IBA,the_amount_of_fly_ash,incineration_performance, electricity_production, electricity_sales,electricity_sales_rate, earnings_of_electricity_sales
ず打,105,1,8138.72,12592.88,0,2170.66,362.76,71,2848.43,1376,48.31,2670673
ず打,105,2,10505.2,13314.91,298,1494,413.77,70,2772.73,1302.8,46.99,2448181
ず打,105,3,18575.07,13404.61,0,1876.01,375.96,67,2830.2,1347.2,47.6,2735469
ず打,105,4,15226.98,12516.62,0,1557.31,406.24,68,2380.42,1057.2,44.41,1918128
ず打,105,5,13982.63,11814.97,0,1760.51,332.57,76,2640.62,1130.8,42.82,1943649
ず打,105,6,3381.39,11376.6,0,1304.08,271.6,82,2424.41,984.8,40.62,1780517
ず打,105,7,3270.42,478.12,0,0,27.26,82,102.79,28.8,28.02,50970
ず打,105,8,6309.72,8021.86,0,566.99,228.03,83,1769.49,797.6,45.08,1268449
ず打,105,9,12392.82,14290.52,0,1495.21,479.79,75,2995.98,1371.2,45.77,2542946
ず打,105,10,21470.4,14321.73,0,1947.16,394.88,68,3264.96,1671.6,51.2,2863957
ず打,105,11,15279.6,14744.27,0,2359.97,484.96,73,3372.36,1802.8,53.46,3358654
ず打,105,12,16649.54,15140.42,0,1890.07,434.61,68,3424.36,1821.2,53.18,3256742
ず打,104,1,8067.42,12019.42,4505,1256.31,362.71,65,3281,1668.26,50.85,3822287
ず打,104,2,10268.05,11769.31,3249,1825.55,355.45,70,2745.2,1242.38,45.26,2691858
ず打,104,3,20875.97,16364.16,2236,2552.71,501.1,78,3362.32,1572.6,46.77,3522690
ず打,104,4,17284.16,15770.94,2229,1666.35,521.55,78,3171.72,1435.1,45.25,3222427
ず打,104,5,11520.76,15340.7,3259,2314.33,422.13,78,3114.62,1349.73,43.34,2788757
ず打,104,6,2377.95,2705.71,360,284.97,80.18,78,659.77,247.13,37.46,504771
ず打,104,7,2047.14,3514.5,338,0,97.96,81,757.25,308.8,40.78,657510
ず打,104,8,16883.79,12971.25,3055,2348.22,431.31,75,2916.71,1308.8,44.87,2918136
ず打,104,9,10442.95,14534.45,3466,1625.48,483.31,78,2902.08,1224.8,42.2,2600254
ず打,104,10,20897.73,14275.23,4325,1990.7,405.58,68,2921.1,1254,42.93,2403565
ず打,104,11,16484.84,12855.3,5145,2196.97,447.08,64,2578.33,1045.6,40.55,2039118
ず打,104,12,11445.24,13470.14,5130,1297.84,460.46,64,2945.05,1410,47.88,2776317
ず打,103,1,10756.94,13415.4,2719,1993.75,476.71,74,3214.27,1559.57,48.52,3401231
ず打,103,2,7325.09,11881.45,1493,1554.49,380.21,83,2709.31,1290.38,47.63,2784536
ず打,103,3,20598.97,15764.61,2835,1983.97,497.77,80,3294.48,1550.94,47.08,3499422
ず打,103,4,17509.6,16052.17,1948,2447.47,595.01,82,3082.46,1365.55,44.3,3030644
ず打,103,5,14581.94,15931.4,2669,1877.33,544.67,76,3397.97,1604.41,47.22,3590127
ず打,103,6,2546.75,3333.48,327,567,143.03,81,826.77,393.41,47.58,792178
ず打,103,7,3124.09,1134.46,0,0,24.2,93,78.05,30.89,39.58,79704
ず打,103,8,4362.16,10712.77,2061,1179.54,337.97,75,2421.09,1006.29,41.56,2127916
ず打,103,9,11035.27,12196.04,1772,1854.35,359.21,78,2850.99,1296.39,45.47,2988398
ず打,103,10,23764.42,15882.05,2718,1766.28,503.34,76,3670.84,1856.71,50.58,4150442
ず打,103,11,15392.83,16361.73,1638,2694.46,577.26,81,3406.29,1628.86,47.82,3655094
ず打,103,12,16508.22,14545.86,4054,2653.01,410.96,75,3441.21,1718.54,49.94,3727665
