年度,大職業別,經常性薪資-薪資,經常性薪資-女/男,國中及以下-薪資,國中及以下-女/男,高中或高職-薪資,高中或高職-女/男,專科-薪資,專科-女/男,大學-薪資,大學-女/男,研究所及以上-薪資,研究所及以上-女/男
2015,工業及服務業部門,26230,97.87,21836,98.47,22980,97.37,24824,97.57,27655,98.06,32638,98.78
2015,工業及服務業部門-專業人員,32988,98.74,—,—,—,—,—,—,30920,98.59,35934,98.94
2015,工業及服務業部門-技術員及助理專業人員,27924,98.84,—,—,—,—,25904,98.15,27886,98.77,31634,99.3
2015,工業及服務業部門-事務支援人員,25232,97.65,—,—,22814,98.18,24191,97.94,26087,98.15,29708,99.04
2015,工業及服務業部門-服務及銷售工作人員,23962,98.41,22312,98.77,22835,98.34,24208,98.3,25831,98.58,—,—
2015,工業及服務業部門-技藝、機械設備操作及組裝人員,24751,97.34,—,—,23666,96.45,24875,97.21,26300,98.01,—,—
2015,工業及服務業部門-基層技術工及勞力工,21979,98.13,21612,98.27,22260,98.07,—,—,—,—,—,—
2015,工業部門,26120,97.78,21742,98.24,22900,97.3,24701,97.47,27542,97.92,32553,98.48
2015,工業部門-專業人員,32712,98.54,—,—,—,—,—,—,30546,98.33,35663,98.56
2015,工業部門-技術員及助理專業人員,27417,98.63,—,—,—,—,25466,97.99,27429,98.5,31219,98.97
2015,工業部門-事務支援人員,25156,97.72,—,—,22782,98.09,24131,97.95,26085,98.29,29721,98.98
2015,工業部門-服務及銷售工作人員,25044,98.09,22216,98.19,23423,98.21,25262,97.76,27570,98.25,—,—
2015,工業部門-技藝、機械設備操作及組裝人員,24313,97.12,—,—,23240,96.49,24453,96.98,25890,97.65,—,—
2015,工業部門-基層技術工及勞力工,21971,98.06,21629,98.23,22233,97.96,—,—,—,—,—,—
2015,礦業及土石採取業,26570,92.75,22148,95.55,24087,88.18,25505,88.69,30232,95.28,32088,98.72
2015,礦業及土石採取業-專業人員,37246,98.26,—,—,—,—,—,—,36880,96.95,37772,100
2015,礦業及土石採取業-技術員及助理專業人員,29499,92.27,—,—,—,—,28940,91.75,29313,92.42,30450,92.63
2015,礦業及土石採取業-事務支援人員,23618,96.4,—,—,21971,98.16,23533,95.01,25250,98.63,25875,100
2015,礦業及土石採取業-服務及銷售工作人員,23625,…,—,—,23625,…,23625,…,—,—,—,—
2015,礦業及土石採取業-技藝、機械設備操作及組裝人員,27809,87.07,—,—,27481,85.04,28088,86.26,28688,93.1,—,—
2015,礦業及土石採取業-基層技術工及勞力工,22426,95.25,22148,95.55,22715,94.86,—,—,—,—,—,—
2015,製造業,26044,97.95,21596,98.44,22765,97.69,24573,97.73,27448,98.07,32592,98.52
2015,製造業-專業人員,32632,98.51,—,—,—,—,—,—,30377,98.35,35663,98.53
2015,製造業-技術員及助理專業人員,27222,98.75,—,—,—,—,25224,98.13,27247,98.64,31113,99.1
2015,製造業-事務支援人員,25225,97.84,—,—,22802,98.15,24133,98.01,26142,98.34,29874,99.03
2015,製造業-服務及銷售工作人員,24974,98.07,22010,98.37,23281,98.12,25180,97.73,27545,98.23,—,—
2015,製造業-技藝、機械設備操作及組裝人員,24116,97.6,—,—,22978,97.17,24251,97.42,25773,98.01,—,—
2015,製造業-基層技術工及勞力工,21831,98.24,21489,98.44,22089,98.12,—,—,—,—,—,—
2015,電力及燃氣供應業,29086,97.54,20603,96.19,25228,94.05,27221,95.71,30371,97.66,35113,99.12
2015,電力及燃氣供應業-專業人員,35193,99.3,—,—,—,—,—,—,33474,98.34,37896,100
2015,電力及燃氣供應業-技術員及助理專業人員,30214,99.24,—,—,—,—,28319,97.73,30731,99.7,33242,100
2015,電力及燃氣供應業-事務支援人員,27217,96.73,—,—,24813,98.07,25901,97.79,27933,96.55,32732,97.25
2015,電力及燃氣供應業-服務及銷售工作人員,26133,98.75,—,—,24737,…,26007,…,30000,…,—,—
2015,電力及燃氣供應業-技藝、機械設備操作及組裝人員,27924,90.46,—,—,27785,89.78,27962,89.9,28039,91.69,—,—
2015,電力及燃氣供應業-基層技術工及勞力工,22179,95.47,20603,96.19,23008,96.96,—,—,—,—,—,—
2015,用水供應及污染整治業,26205,97.48,22061,98.6,23958,96.38,26379,95.94,28464,97.91,31144,98.29
2015,用水供應及污染整治業-專業人員,33277,98.13,—,—,—,—,—,—,32179,98.13,35137,98.31
2015,用水供應及污染整治業-技術員及助理專業人員,30103,99.29,—,—,—,—,28431,98.13,30378,99.78,32664,99.59
2015,用水供應及污染整治業-事務支援人員,24780,97.47,—,—,22839,98.12,24250,98.21,25937,98.84,27847,97.95
2015,用水供應及污染整治業-服務及銷售工作人員,27921,100,26235,…,26242,100,28499,100,30048,100,—,—
2015,用水供應及污染整治業-技藝、機械設備操作及組裝人員,27097,97.29,—,—,26499,98.5,27359,95.89,27887,95.9,—,—
2015,用水供應及污染整治業-基層技術工及勞力工,22314,97.54,21783,98.26,22722,97.09,—,—,—,—,—,—
2015,營造業,26558,96.69,23562,97.66,23606,95.85,25307,96.24,27748,96.35,32034,97.61
2015,營造業-專業人員,32627,98.64,—,—,—,—,—,—,31014,98.41,35075,98.21
2015,營造業-技術員及助理專業人員,28577,98.23,—,—,—,—,27155,98.84,28214,96.95,31874,97.51
2015,營造業-事務支援人員,24489,97.33,—,—,22477,97.65,23896,97.9,25281,98.12,28571,98.85
