年度,大職業別,經常性薪資-薪資,經常性薪資-女/男,國中及以下-薪資,國中及以下-女/男,高中或高職-薪資,高中或高職-女/男,專科-薪資,專科-女/男,大學-薪資,大學-女/男,研究所及以上-薪資,研究所及以上-女/男
2016,工業及服務業部門,26723,97.99,22221,98.77,23380,97.54,25198,97.84,28116,98.13,33313,98.62
2016,工業及服務業部門-專業人員,33656,98.58,— ,— ,— ,— ,— ,— ,31558,98.49,36645,98.62
2016,工業及服務業部門-技術員及助理專業人員,28234,98.99,— ,— ,— ,— ,26215,98.38,28176,99.02,32038,99.17
2016,工業及服務業部門-事務支援人員,25642,97.69,— ,— ,23188,98.15,24546,98.18,26448,98.02,30267,99.12
2016,工業及服務業部門-服務及銷售工作人員,24602,98.59,22718,98.84,23551,98.28,24825,98.46,26476,98.96,— ,— 
2016,工業及服務業部門-技藝、機械設備操作及組裝人員,25066,97.61,— ,— ,23986,96.74,25184,97.46,26580,98.39,— ,— 
2016,工業及服務業部門-基層技術工及勞力工,22313,98.45,21983,98.7,22565,98.32,— ,— ,— ,— ,— ,— 
2016,工業部門,26554,97.94,22056,98.54,23198,97.45,25063,97.77,27939,98.01,33154,98.46
2016,工業部門-專業人員,33404,98.59,— ,— ,— ,— ,— ,— ,31285,98.38,36288,98.59
2016,工業部門-技術員及助理專業人員,27712,98.72,— ,— ,— ,— ,25885,98.13,27613,98.63,31558,98.93
2016,工業部門-事務支援人員,25554,97.65,— ,— ,23082,98.05,24495,98.15,26389,98.02,30362,98.92
2016,工業部門-服務及銷售工作人員,25590,98.52,22707,98.51,23968,97.66,25792,98.02,28206,99.07,— ,— 
2016,工業部門-技藝、機械設備操作及組裝人員,24556,97.49,— ,— ,23482,96.82,24690,97.41,26071,98.14,— ,— 
2016,工業部門-基層技術工及勞力工,22239,98.28,21880,98.54,22508,98.13,— ,— ,— ,— ,— ,— 
2016,礦業及土石採取業,25281,96.03,21771,93.95,23649,94.11,24896,92.01,27890,97.7,30906,99.66
2016,礦業及土石採取業-專業人員,34282,98.31,— ,— ,— ,— ,— ,— ,33501,97.42,35844,100
2016,礦業及土石採取業-技術員及助理專業人員,27757,97.1,— ,— ,— ,— ,26809,94.37,28563,99.48,28679,… 
2016,礦業及土石採取業-事務支援人員,23233,97.61,— ,— ,22429,97.26,22747,98.64,24737,98.32,26919,… 
2016,礦業及土石採取業-服務及銷售工作人員,24232,99.41,20500,… ,23156,97.86,23813,100,27594,100,— ,— 
2016,礦業及土石採取業-技藝、機械設備操作及組裝人員,26232,96.2,— ,— ,25575,97.15,26553,91.11,27213,99.18,— ,— 
2016,礦業及土石採取業-基層技術工及勞力工,22352,93.63,22002,93.48,22780,94.16,— ,— ,— ,— ,— ,— 
2016,製造業,26482,98.03,21959,98.65,23061,97.76,24926,97.98,27832,98.18,33136,98.4
2016,製造業-專業人員,33337,98.63,— ,— ,— ,— ,— ,— ,31127,98.55,36323,98.51
2016,製造業-技術員及助理專業人員,27489,98.73,— ,— ,— ,— ,25647,98.22,27380,98.62,31363,98.91
2016,製造業-事務支援人員,25591,97.89,— ,— ,23076,98.17,24483,98.3,26389,98.32,30409,98.9
2016,製造業-服務及銷售工作人員,25552,98.48,22702,98.48,23888,97.55,25738,97.95,28187,99.04,— ,— 
2016,製造業-技藝、機械設備操作及組裝人員,24367,97.69,— ,— ,23232,97.29,24466,97.67,25965,98.12,— ,— 
2016,製造業-基層技術工及勞力工,22084,98.45,21730,98.73,22343,98.28,— ,— ,— ,— ,— ,— 
2016,電力及燃氣供應業,28507,98.81,23802,99.4,25787,95.99,26843,97.72,29982,99.16,33554,99.1
2016,電力及燃氣供應業-專業人員,34900,98.83,— ,— ,— ,— ,— ,— ,33313,99.02,37058,98.37
2016,電力及燃氣供應業-技術員及助理專業人員,29135,99.8,— ,— ,— ,— ,27596,98.81,29411,99.3,32285,100
2016,電力及燃氣供應業-事務支援人員,27073,98.4,— ,— ,25025,97.83,26120,99.31,28116,99.28,30831,99.33
2016,電力及燃氣供應業-服務及銷售工作人員,25562,100,24800,… ,25004,100,25801,100,27600,… ,— ,— 
2016,電力及燃氣供應業-技藝、機械設備操作及組裝人員,26947,94.79,— ,— ,26719,95.34,26849,92.27,28194,98.2,— ,— 
2016,電力及燃氣供應業-基層技術工及勞力工,24841,98.25,23636,99.29,25953,98.02,— ,— ,— ,— ,— ,— 
2016,用水供應及污染整治業,27306,98.1,22372,99.37,24285,97.79,27532,96.89,29197,96.8,33787,100
2016,用水供應及污染整治業-專業人員,34140,99.17,— ,— ,— ,— ,— ,— ,32134,98.12,36749,100
2016,用水供應及污染整治業-技術員及助理專業人員,31308,99.54,— ,— ,— ,— ,29624,98.75,31084,99.98,35080,100
2016,用水供應及污染整治業-事務支援人員,26016,96.12,— ,— ,23677,97.48,25493,96.13,26984,95.04,30098,100
2016,用水供應及污染整治業-服務及銷售工作人員,28917,100,25930,… ,27226,100,30230,100,30230,100,— ,— 
2016,用水供應及污染整治業-技藝、機械設備操作及組裝人員,27197,99.02,— ,— ,25918,99,27815,98.54,28250,98.7,— ,— 
2016,用水供應及污染整治業-基層技術工及勞力工,22811,98.53,22272,99.34,23186,98.32,— ,— ,— ,— ,— ,— 
2016,營造業,27154,96.81,23194,97.98,24018,95.48,25791,96.18,28815,95.78,33305,98.56
2016,營造業-專業人員,33893,97.98,— ,— ,— ,— ,— ,— ,32830,96.52,35484,99.44
2016,營造業-技術員及助理專業人員,29657,99.18,— ,— ,— ,— ,27825,97.62,29549,99.69,33682,98.54
2016,營造業-事務支援人員,25009,95.83,— ,— ,22765,97.74,24192,97.16,26080,95.65,29829,98.6
2016,營造業-服務及銷售工作人員,26360,98.12,— ,— ,24975,98.02,26900,97.25,28050,… ,— ,— 
2016,營造業-技藝、機械設備操作及組裝人員,25774,98.87,— ,— ,25078,97.12,26187,99.65,26716,99.99,— ,— 
2016,營造業-基層技術工及勞力工,23551,98.29,23194,97.98,23881,98.63,— ,— ,— ,— ,— ,— 
2016,服務業部門,26982,98.01,22400,98.95,23671,97.62,25425,97.88,28371,98.24,33554,98.85
2016,服務業部門-專業人員,34051,98.5,— ,— ,— ,— ,— ,— ,31966,98.54,37242,98.63
2016,服務業部門-技術員及助理專業人員,29148,99.3,— ,— ,— ,— ,26896,98.72,29064,99.46,32803,99.52
2016,服務業部門-事務支援人員,25761,97.73,— ,— ,23343,98.28,24617,98.21,26522,98.01,30143,99.39
2016,服務業部門-服務及銷售工作人員,24070,98.75,22724,99.01,23355,98.66,24293,98.81,25414,98.87,— ,— 
2016,服務業部門-技藝、機械設備操作及組裝人員,26734,98.41,— ,— ,25671,97.46,26845,97.91,28141,98.98,— ,— 
2016,服務業部門-基層技術工及勞力工,22430,98.69,22142,98.88,22656,98.61,— ,— ,— ,— ,— ,— 
2016,批發及零售業,25969,97.84,22693,99.64,23574,97.67,24951,97.85,27330,98.16,31871,98.65
2016,批發及零售業-專業人員,33370,98.69,— ,— ,— ,— ,— ,— ,31716,98.65,36237,98.27
2016,批發及零售業-技術員及助理專業人員,28163,99.77,— ,— ,— ,— ,26393,99.49,28419,99.59,31328,99.44
2016,批發及零售業-事務支援人員,25279,97.65,— ,— ,23186,98.95,24484,97.62,26099,98.37,28871,99.08
2016,批發及零售業-服務及銷售工作人員,23744,98.62,22925,99.37,23327,98.55,23776,98.68,24587,98.62,— ,— 
2016,批發及零售業-技藝、機械設備操作及組裝人員,25934,99.31,— ,— ,25042,98.13,26137,99.18,27150,99.9,— ,— 
2016,批發及零售業-基層技術工及勞力工,22833,97.65,22377,99.91,23106,96.55,— ,— ,— ,— ,— ,— 
2016,運輸及倉儲業,27640,97.02,23664,99.02,25406,95.41,26846,95.51,29414,97.34,32529,99.09
2016,運輸及倉儲業-專業人員,35346,99.47,— ,— ,— ,— ,— ,— ,34114,99.32,37151,99.53
2016,運輸及倉儲業-技術員及助理專業人員,30031,99.76,— ,— ,— ,— ,28047,99.66,30390,99.09,32762,99.88
2016,運輸及倉儲業-事務支援人員,26049,96.15,— ,— ,23656,96.05,25018,96.87,27173,96.89,30144,99.08
2016,運輸及倉儲業-服務及銷售工作人員,25628,98.46,23837,99.04,24453,98.68,25852,97.97,27404,98.74,— ,— 
2016,運輸及倉儲業-技藝、機械設備操作及組裝人員,28989,98.1,— ,— ,28139,98.59,29040,96.09,30351,97.97,— ,— 
2016,運輸及倉儲業-基層技術工及勞力工,24026,99.39,23622,98.99,24311,99.88,— ,— ,— ,— ,— ,— 
2016,住宿及餐飲業,24787,98.93,22699,98.74,23500,98.55,24463,98.96,26350,99.48,29264,100
2016,住宿及餐飲業-專業人員,30403,99.13,— ,— ,— ,— ,— ,— ,29786,98.83,31529,100
2016,住宿及餐飲業-技術員及助理專業人員,27492,99.27,— ,— ,— ,— ,25589,98.67,28128,99.02,29262,100
2016,住宿及餐飲業-事務支援人員,25065,98.06,— ,— ,23696,97.54,24494,97.96,25901,98.88,27530,100
2016,住宿及餐飲業-服務及銷售工作人員,23828,99.08,23093,98.5,23583,98.33,23904,99.64,24566,99.88,— ,— 
2016,住宿及餐飲業-技藝、機械設備操作及組裝人員,25353,99.45,— ,— ,24556,98.74,25438,99.73,26350,99.96,— ,— 
2016,住宿及餐飲業-基層技術工及勞力工,22463,99.57,22253,99.16,22632,99.95,— ,— ,— ,— ,— ,— 
2016,資訊及通訊傳播業,28485,98.5,22513,99.54,23491,97.93,25606,99.16,28634,98.94,34286,98.59
2016,資訊及通訊傳播業-專業人員,33382,98.84,— ,— ,— ,— ,— ,— ,30815,99.43,37180,98.5
2016,資訊及通訊傳播業-技術員及助理專業人員,28852,99.47,— ,— ,— ,— ,26577,99.48,28466,99.8,32866,99.25
2016,資訊及通訊傳播業-事務支援人員,26196,99.54,— ,— ,23252,98.87,24850,99.7,26619,99.71,30457,99.82
2016,資訊及通訊傳播業-服務及銷售工作人員,25557,97.57,23617,99.02,24088,98.1,25437,98.21,27173,97.05,— ,— 
2016,資訊及通訊傳播業-技藝、機械設備操作及組裝人員,26334,97.32,— ,— ,25068,95.35,25939,98.63,27702,96.64,— ,— 
2016,資訊及通訊傳播業-基層技術工及勞力工,21678,99.31,21646,100,21706,98.71,— ,— ,— ,— ,— ,— 
2016,金融及保險業,31025,99.34,23491,100,25043,98.93,27035,99.52,31059,99.72,35921,99.15
2016,金融及保險業-專業人員,35633,99.65,— ,— ,— ,— ,— ,— ,33468,100.11,37895,99.45
2016,金融及保險業-技術員及助理專業人員,31281,99.4,— ,— ,— ,— ,27338,99.84,30740,99.89,35025,98.52
2016,金融及保險業-事務支援人員,29872,99.5,— ,— ,25086,100.24,27006,99.89,29945,99.46,34646,99.66
2016,金融及保險業-服務及銷售工作人員,26698,99.66,23502,100,24016,99.92,26393,99.49,29236,99.84,— ,— 
2016,金融及保險業-技藝、機械設備操作及組裝人員,27538,97.81,— ,— ,26320,95.39,26818,96.96,29369,99.89,— ,— 
2016,金融及保險業-基層技術工及勞力工,23865,98.98,23473,100,24154,98.38,— ,— ,— ,— ,— ,— 
2016,不動產業,27099,97.85,22201,97.14,23459,100.02,24813,97.87,27959,97.19,32704,100.5
2016,不動產業-專業人員,34261,99.49,— ,— ,— ,— ,— ,— ,32960,99.7,36119,99.21
2016,不動產業-技術員及助理專業人員,28491,100.12,— ,— ,— ,— ,25549,98.29,28254,99.8,33469,101.81
2016,不動產業-事務支援人員,25389,97.06,— ,— ,23647,99.73,24567,97.44,25912,95.66,28880,100
2016,不動產業-服務及銷售工作人員,23155,98.66,22000,… ,22000,… ,23043,100,24356,96.68,— ,— 
2016,不動產業-技藝、機械設備操作及組裝人員,24394,97.25,— ,— ,23955,100,24364,99.1,25029,91.38,— ,— 
2016,不動產業-基層技術工及勞力工,22444,98.25,22274,96.18,22600,100,— ,— ,— ,— ,— ,— 
2016,專業、科學及技術服務業,28879,97.26,22584,97.18,23802,96.83,25505,97.79,29095,98.38,36203,97.74
2016,專業、科學及技術服務業-專業人員,34927,98.69,— ,— ,— ,— ,— ,— ,31821,99.7,39658,97.34
2016,專業、科學及技術服務業-技術員及助理專業人員,28632,99.17,— ,— ,— ,— ,26383,97.82,28523,99.64,32858,99.94
2016,專業、科學及技術服務業-事務支援人員,26167,97.38,— ,— ,23486,97.93,24810,98.57,26814,97.76,31953,98.89
2016,專業、科學及技術服務業-服務及銷售工作人員,25344,99.77,22800,… ,23197,100,25114,100,27813,99.33,— ,— 
2016,專業、科學及技術服務業-技藝、機械設備操作及組裝人員,25955,97.04,— ,— ,25082,95.55,26079,95.94,27097,99.83,— ,— 
2016,專業、科學及技術服務業-基層技術工及勞力工,23014,96.18,22539,96.57,23443,95.83,— ,— ,— ,— ,— ,— 
2016,支援服務業,24799,98.35,21674,97.98,22825,98.93,24741,98.06,26639,97.95,30779,98.49
2016,支援服務業-專業人員,32089,99.51,— ,— ,— ,— ,— ,— ,30558,99.38,34660,99.94
2016,支援服務業-技術員及助理專業人員,28628,98.2,— ,— ,— ,— ,27277,98.01,28408,98.51,32392,99.4
2016,支援服務業-事務支援人員,24518,98.8,— ,— ,23031,99.37,24002,98.95,25344,98.58,27526,99.47
2016,支援服務業-服務及銷售工作人員,24162,98.38,22556,97.58,23668,99.04,24555,98.58,25418,97.58,— ,— 
2016,支援服務業-技藝、機械設備操作及組裝人員,25338,97.69,— ,— ,24769,97.62,25251,97.28,26280,98.44,— ,— 
2016,支援服務業-基層技術工及勞力工,21340,98.93,21296,98.47,21379,99.35,— ,— ,— ,— ,— ,— 
2016,教育服務業,24794,97.6,22336,… ,23043,97.91,23424,96.19,24543,98.4,28860,100
2016,教育服務業-專業人員,26251,99.29,— ,— ,— ,— ,— ,— ,25152,99.61,29786,100
2016,教育服務業-技術員及助理專業人員,25302,96.59,— ,— ,— ,— ,23432,… ,24783,97.24,30000,… 
2016,教育服務業-事務支援人員,23765,96.85,— ,— ,22942,96.69,23067,96,23561,98.15,27167,100
2016,教育服務業-服務及銷售工作人員,24253,100,23004,… ,23336,… ,24336,… ,25502,100,— ,— 
2016,教育服務業-技藝、機械設備操作及組裝人員,24886,100,— ,— ,23800,… ,25700,… ,25700,… ,— ,— 
2016,教育服務業-基層技術工及勞力工,21000,… ,21000,… ,21000,… ,— ,— ,— ,— ,— ,— 
2016,醫療保健服務業,27704,98.26,22091,99.07,23481,99.15,26042,98.59,29680,97.43,33698,99.27
2016,醫療保健服務業-專業人員,36076,96.39,— ,— ,— ,— ,— ,— ,34708,94.98,38166,98.78
2016,醫療保健服務業-技術員及助理專業人員,30231,98,— ,— ,— ,— ,28250,97.13,30243,98.27,33008,99.48
2016,醫療保健服務業-事務支援人員,25151,98.65,— ,— ,22835,99.03,24161,99.03,25976,98.21,28426,99.92
2016,醫療保健服務業-服務及銷售工作人員,24061,99.69,22538,99.71,23306,99.88,24641,99.54,25368,99.74,— ,— 
2016,醫療保健服務業-技藝、機械設備操作及組裝人員,27269,99.88,— ,— ,25850,99.45,27339,99.75,28711,100,— ,— 
2016,醫療保健服務業-基層技術工及勞力工,21990,99.25,21699,98.55,22234,99.87,— ,— ,— ,— ,— ,— 
2016,藝術、娛樂及休閒服務業,24910,98.96,22340,99.62,23213,99.06,25059,99.29,26413,98.59,29041,100
2016,藝術、娛樂及休閒服務業-專業人員,30082,99.4,— ,— ,— ,— ,— ,— ,29241,98.63,32397,100
2016,藝術、娛樂及休閒服務業-技術員及助理專業人員,26690,99.85,— ,— ,— ,— ,25477,99.74,26841,100,29163,100
2016,藝術、娛樂及休閒服務業-事務支援人員,24586,99.05,— ,— ,23464,98.89,24454,99.74,25150,98.6,26822,100
2016,藝術、娛樂及休閒服務業-服務及銷售工作人員,23909,99.66,22741,99.24,23119,99.91,24525,99.59,24938,99.78,— ,— 
2016,藝術、娛樂及休閒服務業-技藝、機械設備操作及組裝人員,25942,98.73,— ,— ,24186,98.43,27237,99.04,27437,98.86,— ,— 
2016,藝術、娛樂及休閒服務業-基層技術工及勞力工,22331,99.45,22088,99.97,22529,99.03,— ,— ,— ,— ,— ,— 
2016,其他服務業,23598,96.14,21335,98.65,22480,95.86,23786,95.43,25440,96.72,28119,97.74
2016,其他服務業-專業人員,31611,97.6,— ,— ,— ,— ,— ,— ,30600,99.46,36667,… 
2016,其他服務業-技術員及助理專業人員,26858,95.08,— ,— ,— ,— ,26407,90.97,27190,99.37,28500,… 
2016,其他服務業-事務支援人員,23765,97.15,— ,— ,22437,97.58,23358,97.51,25043,97.48,27214,100
2016,其他服務業-服務及銷售工作人員,22264,97.35,20994,99.33,21905,97,22673,96.6,23548,97.99,— ,— 
2016,其他服務業-技藝、機械設備操作及組裝人員,24477,96.39,— ,— ,23295,94.39,24994,97.59,26652,96.95,— ,— 
2016,其他服務業-基層技術工及勞力工,22159,97.36,22040,97.92,22256,96.92,— ,— ,— ,— ,— ,— 
