學歷,年份,住宿及餐飲業,資訊及通訊傳播業,金融及保險業,專業、科學及技術服務業,教育服務業,醫療保健服務業
專科_女,102,22665,24445,26486,23275,20788,24216
專科_女,103,22765,24167,26730,24090,21645,24990
專科_女,104,23631,24694,26827,25035,22915,25504
專科_女,105,24340,25499,26970,25234,23062,25863
專科_女,106,24835,25908,27422,25659,23704,25857
大學_女,102,24106,27388,30105,27568,22707,28189
大學_女,103,24539,26852,30454,27423,23588,28720
大學_女,104,25064,27257,30616,28498,24768,29534
大學_女,105,26282,28480,31015,28862,24371,29306
大學_女,106,26252,29012,31494,29390,25479,29768
研究所及以上_女,102,27384,31967,34960,33739,25843,32796
研究所及以上_女,103,27296,31635,35577,32980,28476,33248
研究所及以上_女,104,28302,32072,35794,35546,28813,33858
研究所及以上_女,105,29264,34036,35765,35782,28860,33575
研究所及以上_女,106,29272,33802,36477,35421,28861,33982
專科_男,102,22865,24735,26615,23900,21548,24675
專科_男,103,23190,24544,26990,24786,22585,25290
專科_男,104,23800,25243,27037,25534,23578,25742
專科_男,105,24595,25715,27101,25805,23975,26232
專科_男,106,25084,26226,27463,25966,24227,26211
大學_男,102,24191,27664,30225,28498,23390,28837
大學_男,103,24755,27265,30701,27916,24595,28993
大學_男,104,25274,27704,30961,29112,25683,29800
大學_男,105,26420,28784,31102,29338,24767,30079
大學_男,106,26548,29383,31703,29912,26109,30025
研究所及以上_男,102,27470,32338,35131,33895,26406,33287
研究所及以上_男,103,27330,31882,35859,33346,28826,33410
研究所及以上_男,104,28397,32196,36072,35782,29300,34012
研究所及以上_男,105,29264,34522,36072,36611,28860,33822
研究所及以上_男,106,29272,34080,36659,35896,29889,34243
