cate,year,mean,median
住宿及餐飲業,100,28392,23778
住宿及餐飲業,101,27917,23402
住宿及餐飲業,102,27813,23531
住宿及餐飲業,103,28810,24419
住宿及餐飲業,104,29218,25090
資訊及通訊傳播業,100,65627,49342
資訊及通訊傳播業,101,66840,50283
資訊及通訊傳播業,102,64794,48617
資訊及通訊傳播業,103,65591,49051
資訊及通訊傳播業,104,65519,48826
金融及保險業,100,71485,54485
金融及保險業,101,72024,55275
金融及保險業,102,72880,56094
金融及保險業,103,76416,58752
金融及保險業,104,76668,58540
 專技服務業,100,52064,39350
 專技服務業,101,52809,39784
 專技服務業,102,52436,39548
 專技服務業,103,53791,40129
 專技服務業,104,54549,40790
教育服務業,100,38436,31945
教育服務業,101,38091,31927
教育服務業,102,36242,30300
教育服務業,103,37878,31752
教育服務業,104,36003,30332
醫療及社會服務業,100,65407,49673
醫療及社會服務業,101,66108,50962
醫療及社會服務業,102,64177,48998
醫療及社會服務業,103,66677,50572
醫療及社會服務業,104,66836,50741
所有行業,100,44963,33300
所有行業,101,45308,33858
所有行業,102,44810,33418
所有行業,103,46617,34577
所有行業,104,47809,35138
